"Priority","Organisation","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Department for Education & Skills (Welsh Government)","ReACT III","ESF",10000000,0,16700000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cardiff","Cardiff","CF10 3NQ","51.4887853","-3.1826701"
"P2","Wales Council for Voluntary Action (WCVA)","Active Inclusion Fund – WWV","ESF",11500000,0,16500000,"N/A","N/A","Wales","West Wales and the Valleys","First","Ceredigion","Aberystwyth","SY23 3AH","52.4121593","-4.06196"
"P2","Department for Local Government and Communities (Welsh Government)","Communities4Work","ESF",14400000,0,22500000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Department for Local Government and Communities (Welsh Government)","Communities4Work","ESF",3700000,0,7500000,"N/A","N/A","Wales","East Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Torfaen County Borough Council","Bridges2Work","ESF",5500000,0,7000000,"N/A","N/A","Wales","West Wales and the Valleys","First","Torfaen","Cwmbran","NP44 8HT","51.6462825","-3.0108206"
"P2","Department for Local Government and Communities (Welsh Government)","Parents, Childcare and Employment (PaCE)","ESF",6800000,0,10900000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Wales Council for Voluntary Action","Active Inclusion Fund","ESF",3000000,0,6000000,"N/A","N/A","Wales","East Wales","First","Cardiff","Cardiff","CF10","51.4651864","-3.1677197"
"P3","Department of Health (Welsh Government)","Healthy Working Wales (In-Work Service)","ESF",3300000,0,4800000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Department of Health (Welsh Government)","Healthy Working Wales (Out of Work Service)","ESF",4800000,0,7200000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Neath Port Talbot County Borough Council","Workways","ESF",7500000,0,9100000,"N/A","N/A","Wales","West Wales and the Valleys","First","Neath Port Talbot","Neath","SA11 3QZ","51.6625947","-3.8006782"
"P4","Chwarae Teg","Agile Nation 2","ESF",8000000,0,10400000,"N/A","N/A","Wales","West Wales and the Valleys","First","Conwy","Llandudno","LL30 3LT","53.3170491","-3.772666"
"P3","Chwarae Teg","Agile Nation 2","ESF",1500000,0,2000000,"N/A","N/A","Wales","East Wales","First","Conwy","Llandudno","LL30 3LT","53.3170491","-3.772666"
"P2","Welsh Government","Apprenticeships","ESF",40700000,0,78400000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Welsh Government","Apprenticeships East Wales","ESF",5700000,0,76600000,"N/A","N/A","Wales","East Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Welsh Government","Apprenticeships Skills Enhancement Programme I","ESF",32200000,0,65700000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Welsh Government","Apprenticeships Skills Enhancement Programme I East Wales","ESF",4800000,0,63900000,"N/A","N/A","Wales","East Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Welsh Contact Centre Forum Ltd","Welsh Financial Sector Graduate Programme","ESF",1400000,0,3600000,"N/A","N/A","Wales","East Wales","First","Vale of Glamorgan","Penarth","CF64 2AG","51.4384878","-3.1748514"
"P1","Torfaen County Borough Council","Working Skills For Adults II","ESF",2700000,0,3800000,"N/A","N/A","Wales","West Wales and the Valleys","First","Torfaen","Cwmbran","NP44 8HT","51.6462825","-3.0108206"
"P2","Swansea University","ION Leadership (Leading Business Growth) WWV","ESF",2700000,0,4000000,"N/A","N/A","Wales","West Wales and the Valleys","First","Swansea","Swansea","SA2","51.6128215","-3.9815784"
"P3","Swansea University","Materials and Manufacturing Academy","ESF",8600000,0,13800000,"N/A","N/A","Wales","West Wales and the Valleys","First","Swansea","Swansea","SA2","51.6128215","-3.9815784"
"P2","University of Wales","GWLAD","ESF",2400000,0,3700000,"N/A","N/A","Wales","South West Wales","First","Cardiff","Cardiff","CF10","51.4863195","-3.1813684"
"P2","Swansea University","MeTAL 2","ESF",1100000,0,1500000,"N/A","N/A","Wales","West Wales and the Valleys","First","Swansea","Swansea","SA2","51.6128215","-3.9815784"
"P1","Coleg Cambria","SEE (Skills for Employers and Employees) WWV","ESF",7700000,0,10600000,"N/A","N/A","Wales","North West Wales","First","Flintshire","Deeside","CH5","53.2265716","-3.0766623"
"P1","Coleg Cambria","SEE (Skills for Employers and Employees) EW","ESF",2700000,0,5600000,"N/A","N/A","Wales","North East Wales","First","Flintshire","Deeside","CH5","53.2265716","-3.0766623"
"P3","Bangor University","KESS II","ESF",25900000,0,36000000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498"
"P1","Gower College Swansea","Skills for Industry 2","ESF",11800000,0,16800000,"N/A","N/A","Wales","South West Wales","First","Swansea","Swansea","SA2","51.6217228","-3.9873125"
"P1","Coleg y Cymoedd","Upskilling@Work WWV","ESF",6200000,0,9300000,"N/A","N/A","Wales","South East Wales","First","Rhondda Cynon Taff","Cardiff","CF15 7QX","51.5656118","-3.2745326"
"P1","Coleg Gwent","Upskilling@Work EW","ESF",4600000,0,9500000,"N/A","N/A","Wales","South East Wales","First","Newport","Newport","NP19","51.5738414","-2.9539953"
"P2","Cardiff Metropolitan University","Leading Business Growth East Wales","ESF",2400000,0,4100000,"N/A","N/A","Wales","East Wales","First","Cardiff","Cardiff","CF5 2YB","51.4955104","-3.2114587"
"P1","Department for Education & Skills (Welsh Government)","Jobs Growth Wales","ESF",25000000,0,52900000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cardiff","Cardiff","CF10 3NQ","51.4887853","-3.1826701"
"P1","Department for Education and Skills (Welsh Government)","Traineeships","ESF",27900000,0,89200000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cardiff","Cardiff","CF10 3NQ","51.4887853","-3.1826701"
"P3","Engineering Education Scheme Wales Ltd.","Stem Cymru 2","ESF",1700000,0,2100000,"N/A","N/A","Wales","West Wales and the Valleys","First","Bridgend","Bridgend","CF31 3NA","51.4929934","-3.5810777"
"P1","Welsh Government, Department for Local Government and Communities","Communities4Work","ESF",6800000,0,11200000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P4","Department for Education and Public Services (Welsh Government)","Progress for Success (PfS)","ESF",4100000,0,6300000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Denbighshire County Council","TRAC 11-24","ESF",11500000,0,18100000,"N/A","N/A","Wales","West Wales and the Valleys","First","Denbighshire","Ruthin","LL15","53.1144802","-3.3085956"
"P2","Blaenau Gwent County Borough Council (West Wales & the Valleys)","Inspire 2 Achieve WWV","ESF",14000000,0,18900000,"N/A","N/A","Wales","West Wales and the Valleys","First","Blaenau Gwent","Ebbw Vale","NP23 6XB","51.7847992","-3.209331"
"P2","Newport City Council (East Wales)","Inspire 2 Achieve EW","ESF",4200000,0,9200000,"N/A","N/A","Wales","East Wales","First","Newport","Newport","NP20 4UR","51.5888649","-3.0058111"
"P1","Welsh Government – Department for Local Government and Communities","Parent, Childcare and Employment (PaCE)","ESF",1700000,0,2700000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Aberystwyth University & Biotechnology and Biological Sciences Research Council (BBSRC)","Aberystwyth Innovation and Enterprise Campus (AIEC)","ERDF",20000000,0,35500000,"N/A","N/A","Wales","West Wales and the Valleys","First","Ceredigion","Aberystwyth","SY23","52.417793","-4.065933"
"P1","Department for Economy, Science and Transport (Welsh Government)","SMART Innovation","ERDF",11600000,0,19700000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Cardiff University","Cardiff University Brain Research and Imaging Centre II (CUBRIC II)","ERDF",4600000,0,16200000,"N/A","N/A","Wales","South East Wales","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342"
"P1","Department for Economy, Science and Transport (Welsh Government)","SMART Cymru","ERDF",27000000,0,63000000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Department for Economy, Science and Transport (Welsh Government)","SMART Expertise","ERDF",30000000,0,51000000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Bangor University","M-SParc","ERDF",10200000,0,20200000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Bangor","LL57 2DG","53.2292191","-4.129498"
"P1","Welsh Government – Economy, Science and Transport Dept.","SER CYMRU II","ERDF",22700000,0,39000000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P1","Aberystwyth University","Beacon+","ERDF",7900000,0,12000000,"N/A","N/A","Wales","West Wales and the Valleys","Second","Ceredigion","Aberystwyth","SY23","52.417793","-4.065933"
"P1","TWI Wales","Advanced Engineering and Materials Research Institute","ERDF",7500000,0,12900000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cambridgeshire","Cambridge","CB21 6GP","52.1172635","0.224611"
"P1","Swansea University","Sustainable Product Engineering Centre for Innovation in Functional Coatings (SPECIFIC)","ERDF",14980000,0,26280000,"N/A","N/A","Wales","West Wales and the Valleys","First","Swansea","Swansea","SA2","51.6128215","-3.9815784"
"P1","Cardiff University","FLEXIS – Flexible Integrated Systems","ERDF",15100000,0,24400000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cardiff","Cardiff","CF10 3XQ","51.4657448","-3.1936342"
"P1","Swansea University","Computational Foundry","ERDF",17100000,0,31100000,"N/A","N/A","Wales","West Wales and the Valleys","First","Swansea","Swansea","SA2","51.6128215","-3.9815784"
"P2","Department for Economy, Science and Transport (Welsh Government)","Entrepreneurship Support – Business Wales","ERDF",24800000,0,41300000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Department for Economy, Science and Transport (Welsh Government)","SME Support – Business Wales","ERDF",26400000,0,44000000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Wales Co-operative Centre","Social Business Wales","ERDF",6300000,0,11100000,"N/A","N/A","Wales","Wales","First","Caerphilly","Caerphilly","CF83 2AX","51.5705441","-3.2456245"
"P2","Department for Economy, Science and Transport (Welsh Government)","Superfast Broadband Business Exploitation","ERDF",6900000,0,12400000,"N/A","N/A","Wales","Wales","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P2","Finance Wales","Wales Business Fund","ERDF",75900000,0,135900000,"N/A","N/A","Wales","West Wales and the Valleys","First","Cardiff","Cardiff","CF10","51.4767351","-3.1675492"
"P3","Minesto AB","Deep Green 1.5MW Holyhead Deep","ERDF",9500000,0,25000000,"N/A","N/A","Wales","West Wales and the Valleys","None","N/A","N/A","N/A","N/A","N/A"
"P3","Marine Power Systems Ltd","Wave-Sub","ERDF",2100000,0,3000000,"N/A","N/A","Wales","West Wales and the Valleys","None","N/A","N/A","N/A","N/A","N/A"
"P4","Welsh Government Economy, Skills & Natural Resources Group","Tourism Attractor Destinations","ERDF",27700000,0,84800000,"N/A","N/A","Wales","West Wales and the Valleys","First","Gwynedd","Caernarfon","LL55 1EP","53.1409633","-4.2726317"
"P5","Welsh Council for Voluntary Action (WCVA)","Third Sector European Team","ERDF",7800000,0,11100000,"N/A","N/A","Wales","Wales","First","Ceredigion","Aberystwyth","SY23 3AH","52.4121593","-4.06196"
